player_id,name,birth_date,roster_position_code,bats,throws
687243,Cole Kirschsieper,12/27/2000,LHS,R,L
682844,Lazaro Benitez,10/15/1999,RF,R,R
691788,Joe Mack,12/27/2002,C,L,R
696149,Bubba Chandler,9/14/2002,RHS,S,R
682987,Spencer Jones,5/14/2001,OF,L,L
691267,Alexander Ramirez,1/13/2003,CF,R,R
606192,Teoscar Hernandez,10/15/1992,LF,R,R
680595,Darwin Baez,11/6/2000,1B,R,R
679947,Nelson Roberto,10/27/2000,RF,R,R
669224,Austin Wells,7/12/1999,C,L,R
691392,Johnny Ascanio,7/4/2003,SS,S,S
683584,Francisco Fajardo,5/26/2000,2B,S,R
669282,Tanner Murphy,5/1/1998,CF,R,R
678637,Luis Baez,11/23/2000,CF,R,R
691006,Kevin Parada,8/3/2001,C,R,R
643265,Garrett Cooper,12/25/1990,1B,R,R
682185,Nick Matera,8/29/1996,C,R,R
680739,Josh Winder,10/11/1996,RHR,R,R
670422,Trevor Bettencourt,7/21/1994,RHR,R,R
689564,Alexander Johnson,7/2/2000,RHS,R,R
687960,Shaine McNeely,5/10/1998,RHS,L,R
682132,Brendan Hardy,12/15/1999,RHR,R,R
700292,Yondrei Rojas,11/22/2002,RHS,R,R
678024,Mike Vasil,3/19/2000,RHP,L,R
692504,Rafael Ohashi,10/8/2002,RHS,R,R
695373,Javier Rivera,11/27/1999,RHS,R,R
695996,Juan Mendez,10/18/1998,RHS,R,R
680632,Rafael Marcano,4/20/2000,LHS,L,L
663336,Aaron Shortridge,5/29/1997,RHS,R,R
703105,Malik Barrington,10/8/1997,RHS,R,R
676355,Carlos Lomeli,3/19/1999,RHP,R,R
680801,Jake Schrand,8/8/1999,RHP,R,R
642121,Cole Sulser,3/12/1990,RHR,R,R
668826,A.J. Candelario,12/17/1997,RHS,R,R
702418,Juan Reynoso,4/4/2004,RHS,R,R
695297,Carson Rudd,9/17/1998,RHS,R,R
677341,Osiris Johnson,10/18/2000,SS,R,R
688359,Deion Walker,8/20/2001,RF,R,R
683447,Gabriel Martinez,7/24/2002,RF,R,R
701800,Carlos Linarez,10/24/2001,C,R,R
686577,Keoni Cavaco,6/2/2001,SS,R,R
683364,Carlos Dominguez,10/11/1999,LF,R,R
695653,Noah Miller,11/12/2002,SS,S,R
687426,Glenn Santiago,12/14/2000,SS,R,R
